service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
R31@2,0,0,0,0,0,1,0,20170331,20170630
3985@1,1,1,1,1,1,0,0,20170331,20170630
40.41@1,1,1,1,1,1,0,0,20170331,20170630
431@2,0,0,0,0,0,1,0,20170331,20170630
431@5,0,0,0,0,0,0,0,20170331,20170630
436@1,1,1,1,1,1,0,0,20170331,20170630
4381@3,0,0,0,0,0,0,1,20170331,20170630
493@2,0,0,0,0,0,1,0,20170331,20170630
A972@1,1,1,1,1,1,0,0,20170331,20170630
494@1,1,1,1,1,1,0,0,20170331,20170630
4942@1,1,1,1,1,1,0,0,20170331,20170630
495@2,0,0,0,0,0,1,0,20170331,20170630
05.1@1,1,1,1,1,1,0,0,20170331,20170630
50.1@1,1,1,1,1,1,0,0,20170331,20170630
510@1,1,1,1,1,1,0,0,20170331,20170630
605@3,0,0,0,0,0,0,1,20170331,20170630
T13@2,0,0,0,0,0,1,0,20170331,20170630
D70@1,1,1,1,1,1,0,0,20170331,20170630
827@2,0,0,0,0,0,1,0,20170331,20170630
731@1,1,1,1,1,1,0,0,20170331,20170630
6612@2,0,0,0,0,0,1,0,20170331,20170630
6612@5,0,0,0,0,0,0,0,20170331,20170630
6371@1,1,1,1,1,1,0,0,20170331,20170630
656@1,1,1,1,1,1,0,0,20170331,20170630
662@2,0,0,0,0,0,1,0,20170331,20170630
662@5,0,0,0,0,0,0,0,20170331,20170630
B02@3,0,0,0,0,0,0,1,20170331,20170630
6611@1,1,1,1,1,1,0,0,20170331,20170630
665@5,0,0,0,0,0,0,0,20170331,20170630
C31@3,0,0,0,0,0,0,1,20170331,20170630
A981@1,1,1,1,1,1,0,0,20170331,20170630
430@1,1,1,1,1,1,0,0,20170331,20170630
490@1,1,1,1,1,1,0,0,20170331,20170630
4933@3,0,0,0,0,0,0,1,20170331,20170630
50.11@1,1,1,1,1,1,0,0,20170331,20170630
60.1@1,1,1,1,1,1,0,0,20170331,20170630
M60.5@3,0,0,0,0,0,0,1,20170331,20170630
6171@1,1,1,1,1,1,0,0,20170331,20170630
50.81@2,0,0,0,0,0,1,0,20170331,20170630
525@1,1,1,1,1,1,0,0,20170331,20170630
6172@1,1,1,1,1,1,0,0,20170331,20170630
6201@1,1,1,1,1,1,0,0,20170331,20170630
60.6@3,0,0,0,0,0,0,1,20170331,20170630
60.2@1,1,1,1,1,1,0,0,20170331,20170630
520@2,0,0,0,0,0,1,0,20170331,20170630
624@1,1,1,1,1,1,0,0,20170331,20170630
