stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
3414,, FERNANDO SOUTO DA SILVA,,-30.041133,-51.126013
3412,, REV DANIEL BETTS,,-30.042464,-51.126081
3409,, DIRSON GOULART BOHRER,,-30.043991,-51.125768
3407,, MARIO MENEGHETTI,,-30.032905,-51.129635
3404,,ZONA INDEFINIDA 4 AMADEU F DE OLIVEIRA FREITAS,,-30.039259,-51.126958
3403,, REV DANIEL BETTS,,-30.040121,-51.126375
3400,, DR HEITOR PIRES,,-30.037018,-51.130096
3390,, EGON FREDERICO BECKER,,-30.035695,-51.133177
3388,, NILO RUSCHEL,,-30.03692,-51.132109
3384,, RACHEL WOLFRID,,-30.038281,-51.13282
3383,, RACHEL WOLFRID,,-30.038349,-51.132875
3382,, EMILIO SCHLABITZ NETO,,-30.038562,-51.134388
3381,, EMILIO SCHLABITZ NETO,,-30.038613,-51.134327
3374,, DONA ADDA MASCARENHAS DE MORAES,,-30.021788,-51.136595
3373,, DONA ADDA MASCARENHAS DE MORAES,,-30.022372,-51.136575
3363,, ISRAEL WOLF,,-30.028841,-51.137067
3308,, CIRCULAR,,-30.02951,-51.147897
3307,, FERNANDO PIMENTEL,,-30.029513,-51.148626
3306,, FERNANDO PIMENTEL,,-30.029509,-51.148759
3305,, PRAZERES,,-30.031524,-51.148648
3304,, PRAZERES,,-30.031559,-51.148572
3296,, EMILIO SCHLABITZ NETO,,-30.038817,-51.134782
3279,, SOUZA COSTA,,-30.044763,-51.136261
3275,, MAE APOLINARIA MATIAS BATISTA,,-30.045497,-51.135179
3273,, HUGO LIVI,,-30.046413,-51.135982
3249,, PRAZERES,,-30.033343,-51.150301
3248,, PRAZERES,,-30.033301,-51.150371
3232,, FORTALEZA DOS VALOS,,-30.047758,-51.145805
3210,, JOSE MADRID,,-30.047877,-51.149768
3191,, ENG JOSE ANGELO BETTEGA CASSOL,,-30.049223,-51.14457
3184,, ERNESTO DORNELLES,,-30.055911,-51.145305
3165,, COMENDADOR EDUARDO SECCO,,-30.058168,-51.144288
3131,, ENG JOSE MARIA DE CARVALHO,,-30.020824,-51.153075
3130,, ENG JOSE MARIA DE CARVALHO,,-30.021029,-51.152954
3117,, ENG ARY DE ABREU LIMA,,-30.025702,-51.152044
3116,, ENG WALTER BOEHL,,-30.024905,-51.15339
3110,, IPE,,-30.032385,-51.154088
3090,, CEL JOAO CORREA,,-30.0165,-51.162102
3088,, CEL JOAO CORREA,,-30.018225,-51.161776
3087,, CEL JOAO CORREA,,-30.018314,-51.161844
3086,, CEL JOAO CORREA,,-30.01798,-51.161907
3085,, CEL JOAO CORREA,,-30.016477,-51.162191
3076,, GEN PEDRO BITTENCOURT,,-30.019574,-51.16462
3075,, GEN PEDRO BITTENCOURT,,-30.019703,-51.165437
3056,, IPE,,-30.033587,-51.15286
